總坪數,價位（萬）
43.92,3480
58.81,3998
31.42,3200
64.91,4480
12.13,2080
16.82,1780
13.88,2200
16.95,2580
36.7,4350
54.18,7780
24.17,3400
18.24,2250
43.51,5988
22.46,2780
20.36,2350
9.68,1350
15.14,2350
9.61,890
65.51,5280
32.73,1790
8,825
7.66,648
38.87,5200
9.8,1688
13.83,2480
35.15,3650
38.88,7700
12.18,980
46.3,6750
49.03,3680
15.65,1350
32.43,2647
16.61,2346
39.37,2980
25.94,2750
33.22,2258
15.77,1680
9.25,630
29.26,2460
35.9,3580
31.05,1880
50.77,4600
15,1798
23.03,1480
22.79,1198
69.21,9200
42.68,3288
23.81,1950
15.49,2060
28.95,1138
27.25,2280
26.26,1395
36.71,3600
45.03,5688
64.91,5750
73.4,5868
48.26,3560
32.73,2198
13.39,1798
16.54,2188
62.41,13000
36.53,2180
8.5,1300
20.38,1380
27.7,1590
17.78,2612
22.32,1050
25.91,2812
8.47,1080
9.72,2720
29.78,5200
28.11,5590
28.08,4980
138.13,13288
36.42,2580
39.6,2988
52.12,9200
35.69,5495
25.18,3080
18.42,2380
23.3,1638
18.37,2188
27.73,2500
27.34,4450
36.81,4688
29.45,1550
6.33,1250
5.85,1286
15.87,2580
25.28,1968
24.49,4288
26.57,2480
58.81,16000
17.45,1888
48.03,4200
9.48,1270
40.96,4650
10.59,1420
26.36,4150
27.13,1880
17.26,3500
19.1,1500
4.33,660
13.65,1780
27.85,3100
12.64,1998
25.29,2198
20.51,1350
32.62,4730
22.02,3488
37.22,6888
50.34,5395
40.9,6500
39.86,7880
45.51,6460
38.78,3480
24.27,1456
32.12,3333
52.76,7800
32.77,6980
28.55,3580
62.24,9688
31.8,3380
42.79,4980
11.2,2180
16.47,1088
39.08,3200
16.43,1650
18.72,2380
20.67,1400
87.74,7980
21.05,3600
58.01,11170
22.2,2080
33.98,5388
22.66,998
25.49,1480
42.8,4550
75.78,14800
16.8,1150
49.5,3000
40.1,3180
74.08,6680
38.24,2980
18.37,1248
26.77,3880
28.62,1460
30.87,1998
35.09,3280
23.79,7500
43.06,2885
104.88,14000
51.85,3988
35.36,6500
31.38,1350
29.49,2980
27.97,2598
